comment,scale
"Takže neexistuje žiadny spôsob, ako ho zapojiť tu v USA, pokiaľ nepôjdem cez konvertor.	 ",0
"Dobrý prípad, skvelá hodnota.    ",1
Skvelé pre čeľustnú kosť.    ,1
Naviazané na nabíjačku pre rozhovory trvajúce viac ako 45 minút. HLAVNÉ PROBLÉMY!!  ,0
Mikrofón je skvelý.    ,1
"Musím posunúť zástrčku, aby sa zarovnala, aby som získal slušnú hlasitosť.  ",0
"Ak máte niekoľko desiatok alebo niekoľko stoviek kontaktov, predstavte si zábavu pri posielaní každého z nich jeden po druhom.  ",0
Ak ste vlastníkom Razr...toto musíte mať!    ,1
"Netreba dodávať, že som minul peniaze.  ",0
Aká strata peňazí a času!.  ,0
A kvalita zvuku je skvelá.    ,1
Bol veľmi ohromený prechodom z pôvodnej batérie na rozšírenú batériu.    ,1
"Ak boli tieto dva oddelené iba 5+ stôp, začal som si všimnúť nadmerný statický a skomolený zvuk z náhlavnej súpravy.  ",0
Veľmi dobrá kvalita aj keď    ,1
"Dizajn je veľmi zvláštny, keďže ušná ""spona"" nie je vôbec pohodlná.  ",0
"Vrelo odporúčam každému, kto má telefón s modrým zubom.    ",1
Odporúčam KAŽDÉMU NEDAJTE SA OBLIEŤ!  ,0
Zatiaľ je všetko dobré!.    ,1
Funguje skvele!.    ,1
"Zacvakne na miesto takým spôsobom, že vás núti premýšľať, ako dlho tento mechanizmus vydrží.  ",0
"Išiel som na webovú stránku spoločnosti Motorola a postupoval som podľa všetkých pokynov, ale nepodarilo sa mi ju znova spárovať.  ",0
Kúpil som si to na použitie s mojím Kindle Fire a absolútne som to miloval!    ,1
Reklamy sú najviac zavádzajúce.  ,0
Túto novú batériu som ešte nespustil pod dve čiarky a to sú tri dni bez nabíjania.    ,1
Kúpil som ho mame a mala problém s batériou.  ,0
Skvelá kombinácia Pocket PC / telefón.    ,1
"Tento telefón vlastním už 7 mesiacov a môžem povedať, že je to najlepší mobilný telefón, aký som mal.    ",1
"Nemyslel som si, že poskytnuté pokyny sú pre mňa užitočné.  ",0
Ľudia ma nepočuli hovoriť a musel som si vytiahnuť slúchadlá a telefonovať.  ,0
Nedrží náboj.  ,0
"Toto je jednoduchý malý telefón na používanie, ale jeho poškodenie je neprijateľné.  ",0
"Tento produkt je ideálny pre ľudí ako ja, ktorých uši sú veľmi citlivé.    ",1
V idúcom aute pri diaľničnej rýchlosti je nepoužiteľný.  ,0
V tejto zmluve mi zostávajú ešte dva roky a nenávidím tento telefón.  ,0
"Nabíjačka do auta aj AC nabíjačka sú súčasťou dodávky, aby ste sa uistili, že vám nikdy nedôjde šťava. Vysoko odporúčané    ",1
"Potrebujete aspoň 3 minúty, aby ste sa dostali do telefónneho zoznamu od prvého zapnutia telefónu. Životnosť batérie je krátka.  ",0
Držalo sa to veľmi dobre.    ,1
Slabá doba hovoru.  ,0
Puzdro je skvelé a funguje dobre s 68 .    ,1
bezcenný produkt.  ,0
Má skvelý fotoaparát s rozlíšením 2 MP a obrázky sú pekné a jasné s vynikajúcou kvalitou obrazu.    ,1
Tento produkt ma nezaujal.  ,0
Pekné slúchadlá za primeranú cenu.    ,1
Pre zvuk počujem iba odpadky.  ,0
Vynikajúci bluetooth headset.    ,1
"Má všetky funkcie, ktoré chcem    ",1
Kto so zdravým rozumom si kúpi túto batériu?  ,0
PO HORATE S VERIZONOM OHĽADOM PRERUŠENÝCH HOVOROV SME TELEFÓNY PO DVOCH DŇOCH VRÁTILI.  ,0
Tento prípad sa zdá byť dobre urobený.    ,1
