page,comment,scale
Page_1,tento areal je v katastrofalnom stave aspon 10rokov :D,-2
Page_1,skoda len ze ponukaju aj stale tie iste a rovnako jednotne a predrazene blafy. Po gastro stranke cisty odpad,-2
Page_1,"Mali by ste dat tabulky ""VSTUP DO BRATISLAVY NA VLASTNÉ NEBEZPEČIE!"" v podstate uplne vsade. https://dennikn.sk/287769/na-namestie-v-centre-bratislavy-vstupite-len-na-vlastne-nebezpecie-fotogaleria/?ref=tit",-2
Page_1,"Za to, ako dlho sa to stavia, tam mala byt postavena vznasajuca sa cesta😡",-2
Page_1,"A kde je preboha nejaká zeleň ?????? 😞😞😕☹️☹️☹️☹️☹️ veď to je strašné.... Štrurova ulica .... Tak dôležitá ulica v meste, stavali ste ju od základu s mohli ste si na nej dovoliť hoc čo ... Napr trávnaté  el. Trate naokolo s peknými stromami a modernou integrovanou zeleňou ( financie na to boli ) a nie hnusnú deprimujúcu šedu ulicu ....",-2
Page_1,Vy debili dementni na tom magistrate. Neoblbujte ludi sprostostami s odvodnovacim systemom. Co si myslite ze sme naozaj sprosti a zozerieme Vam tu sfusovanu robotu. Ani dement dementny by to tak neurobil. Mozete sa hanbit banda zasrata vychodniarska. Turisti sa na tu ulicu budu chodit pozerat a rehotat sa na tom na tej vasej demencii a budeme im ukazovat na hovno polozene kocky a hovorit im ze ste si potom vymysleli z toho odvodnovaci system. Takto to nikde inde na svete nevedia dodrbat iba v Bratislave. Okamzite tu dlaxbu dajte doporiadku lebo zavolam vsetky TV staby zo sveta a budete za idiotov,-2
Page_1,"Skuste sa niekedy prejst Heydukovou a Mariánskou. Vyzera to tam horsie ako v gete. Stara Drevena buda, kde bol kedysi nejaky lacny textil, teraz pravdepodobne plna potkanov, posprejovane fasady.. Centrum mesta!",-2
Page_1,Tupota,-2
Page_1,To ste sa teda vyznamenali. Uplna blbost takto dochodcom komplikovat cestovanie a nechat ich vybavovat senior pas a cipovu kartu!!! Z obcianskeho je predsa jasne ze kto ma kolko rokov na co to bolo treba menit. Trochu sucitu by nezaskodilo.....,-2
Page_2,"Škoda len, ze tie pekne dosky na krajanie SITTNING sú stale vypredané 😢",-2
Page_2,"ak Ikea napíše ""Nie vždy platí, že menej je viac"" neviem či sa rehotať alebo roniť slzy - to by ste si mali uvedomiť keď na úkor kvality tlačíte ceny dolu!!!",-2
Page_2,Škoda že nieje Ikea nikede bližšie :(,-2
